Country Name,Country Code,Year,Electricity_Consumption_Value,Coal_Percentage_Value,Electricity_Consumption_has_data,Coal_Percentage_has_data
Belgium,BEL,2007,8555.577514893137,9.453814896370115,1,1
Belgium,BEL,2008,8494.41917360576,8.572376449957938,1,1
Belgium,BEL,2009,7910.994801737935,6.752355153921235,1,1
Belgium,BEL,2010,8353.015615681434,6.294327178175438,1,1
Belgium,BEL,2011,8081.886789444427,6.009686993170559,1,1
Belgium,BEL,2012,8001.579554101889,6.5803732691149905,1,1
Belgium,BEL,2013,7991.1056205764335,6.178961110512258,1,1
Belgium,BEL,2014,7700.5585750879845,5.873595699221172,1,1
Belgium,BEL,2015,7699.883876420101,5.896277168065418,1,1
Belgium,BEL,2016,7753.8370735817625,3.082727846179006,1,1
Belgium,BEL,2017,7801.64987598414,2.7996167122686706,1,1
Belgium,BEL,2018,7748.278777714711,3.123709004650915,1,1
Belgium,BEL,2019,7673.266034060465,2.685703301866644,1,1
Belgium,BEL,2020,7420.568380715726,2.098308608990196,1,1
Belgium,BEL,2021,7681.469196746645,2.0182920154058976,1,1
Belgium,BEL,2022,7282.745772550323,2.4159171209105024,1,1
Belgium,BEL,2023,6927.298697942714,2.1895803702685583,1,1
Bosnia and Herzegovina,BIH,1991,2063.99552479475,62.72760246644904,1,1
Bosnia and Herzegovina,BIH,1992,1111.0806741390484,47.770114942528735,1,1
Bosnia and Herzegovina,BIH,1993,739.4066613701895,28.85482416591524,1,1
Bosnia and Herzegovina,BIH,1994,944.593510731162,17.648444863336472,1,1
Bosnia and Herzegovina,BIH,1995,988.544404025876,16.405362417632357,1,1
Bosnia and Herzegovina,BIH,1996,1094.124089154598,29.264305177111716,1,1
Bosnia and Herzegovina,BIH,1997,1287.3837142600455,46.48031945236737,1,1
Bosnia and Herzegovina,BIH,1998,1620.5485655932132,49.33348022474386,1,1
Bosnia and Herzegovina,BIH,1999,1662.589082404326,45.105377191254675,1,1
Bosnia and Herzegovina,BIH,2000,1830.8700166427432,50.69517691053792,1,1
Bosnia and Herzegovina,BIH,2001,1858.6230971723949,50.432412107539015,1,1
Bosnia and Herzegovina,BIH,2002,1877.9838214021865,49.893370421882246,1,1
Bosnia and Herzegovina,BIH,2003,2010.9976659216666,58.83188354340494,1,1
Bosnia and Herzegovina,BIH,2004,2110.607929945204,51.987743557511,1,1
Bosnia and Herzegovina,BIH,2005,2196.512968531864,51.2855102364704,1,1
Bosnia and Herzegovina,BIH,2006,2209.7954554851362,54.79750544744159,1,1
Bosnia and Herzegovina,BIH,2007,2233.753523176221,64.7233536999321,1,1
Bosnia and Herzegovina,BIH,2008,2840.2469991468115,67.16589084530796,1,1
Bosnia and Herzegovina,BIH,2009,2784.426183452008,59.55450599948941,1,1
Bosnia and Herzegovina,BIH,2010,3067.8436047805153,52.53445456669002,1,1
Bosnia and Herzegovina,BIH,2011,3271.6891718900915,70.71989528795811,1,1
Bosnia and Herzegovina,BIH,2012,3417.33347174869,69.50007101264025,1,1
Bosnia and Herzegovina,BIH,2013,3408.60720399218,58.07690103718984,1,1
Bosnia and Herzegovina,BIH,2014,3366.7814080282674,62.80321782178218,1,1
Bosnia and Herzegovina,BIH,2015,3438.925395497736,63.9452300211146,1,1
Bosnia and Herzegovina,BIH,2016,3642.956830155344,67.65914335565937,1,1
Bosnia and Herzegovina,BIH,2017,3864.4587045401117,75.06387638398832,1,1
Bosnia and Herzegovina,BIH,2018,3898.730439917331,64.91127348643006,1,1
Bosnia and Herzegovina,BIH,2019,3735.1297984506505,62.67078259875378,1,1
Bosnia and Herzegovina,BIH,2020,3513.7234648410945,70.20860495436767,1,1
Bosnia and Herzegovina,BIH,2021,3835.857237202792,60.44993526111351,1,1
Bosnia and Herzegovina,BIH,2022,3773.0880098052858,67.449951171875,1,1
Bosnia and Herzegovina,BIH,2023,3676.5248394620785,56.42129764329356,1,1
Brazil,BRA,1991,1485.4777076646203,2.425579301723292,1,1
Brazil,BRA,1992,1493.9094602570258,2.109774460973309,1,1
Brazil,BRA,1993,1538.1271764265164,1.9859034193732736,1,1
Brazil,BRA,1994,1568.4110795814115,1.93431035875112,1,1
Brazil,BRA,1995,1637.2762882420686,2.003621176991375,1,1
Brazil,BRA,1996,1691.3196639840226,2.0928460096540076,1,1
Brazil,BRA,1997,1768.1991273109793,2.397867407835523,1,1
Brazil,BRA,1998,1815.0308949258615,2.1930206248368287,1,1
Brazil,BRA,1999,1839.6070932548073,2.9374156000908234,1,1
Brazil,BRA,2000,1905.7710269774989,3.1543951162190824,1,1
Brazil,BRA,2001,1756.8116083700234,3.3980907618688128,1,1
Brazil,BRA,2002,1817.1354011219187,2.6626474306493746,1,1
Brazil,BRA,2003,1894.6290955430804,2.495752582073289,1,1
Brazil,BRA,2004,1970.4158655017447,2.7311699741646085,1,1
Brazil,BRA,2005,2031.5060795389304,2.665290435274531,1,1
Brazil,BRA,2006,2089.1749853870633,2.5039526681404216,1,1
Brazil,BRA,2007,2185.7487619351487,2.2684641253338786,1,1
Brazil,BRA,2008,2249.3253594569514,2.60782996844949,1,1
Brazil,BRA,2009,2217.7900284866273,2.0985967163032777,1,1
Brazil,BRA,2010,2398.608017992428,2.198509636173608,1,1
Brazil,BRA,2011,2458.558793438508,2.3279430266080183,1,1
Brazil,BRA,2012,2530.977463284004,2.5414508663090762,1,1
Brazil,BRA,2013,2600.6722276474165,3.755180979542357,1,1
Brazil,BRA,2014,2690.214950359604,4.421255299737026,1,1
Brazil,BRA,2015,2628.0976910972026,4.584476411804925,1,1
Brazil,BRA,2016,2592.613373038193,4.327433143733273,1,1
Brazil,BRA,2017,2610.1661356993773,3.7647714641673407,1,1
Brazil,BRA,2018,2640.4164383126704,3.3641138136669286,1,1
Brazil,BRA,2019,2661.18328561313,3.3661805406361767,1,1
Brazil,BRA,2020,2624.8432372375837,2.7894408712967027,1,1
Brazil,BRA,2021,2723.966591046634,3.6664639564462616,1,1
Brazil,BRA,2022,2787.7608964044202,2.1012118912678575,1,1
